Symbol,Balance
ETH,1233.8906213976368
TUSD,0.04970039177101729
DATA,0.0003364765419355
BAT,24.07638914434202
POE,10.355993287561974
ABYSS,0.004729796009107238
MANA,8.135362050297102
GRID,0.41788334880166084
APPC,3.0379848827829035
BNT,21.440435562363277
WBTC,284.49453926305966
C20,0.22064630034698268
AST,76.29552421537268
ST,7.609029893512252
REN,35.16579343895187
CVC,2.2684446025589495
cETH,0.0438262333
LINK,107.77213120293648
BLZ,45.29230268798362
POWR,13.388615465166945
VGX,24.03928343969636
ISLA,1942.6395448920362
DTA,31.56298186846697
SNT,15.172241166578383
VERI,0.2722766985036
REQ,22.98220002772248
POLY,23.387104713222946
MKR,2.8248749682441594
EKO,10.195104090558448
TKN,4.828547618395968
XCHF,0.04030942214526541
STORJ,0.5144781481145481
ABT,7.593698094072089
ELF,8.095954814646785
WETH,0.007259316475253602
KICK,22.733741278502656
KNC,1929.9426621988364
ZRX,7.022713796557373
MLN,22.65870010899098
ENG,8.912145919099245
ENJ,13.392250716309492
