Symbol,Balance
ETH,482.80275137629377
BAT,281.0132403015819
MANA,236.23210776086583
BLT,70.03862799426486
NMR,173.11814055378852
BNT,60.194941714166646
WBTC,113.38700787527144
RDN,230.87709269354826
REN,240.69586363991084
LINK,116.91225161390767
GEN,1.866240205781598
LPT,192.8655246176868
POWR,34.741637479955536
COT,308.4280474592596
RLC,219.45743833097475
GNO,273.2169744252932
AMN,16.371374403425534
SNT,210.99920235834855
LEND,255.31393898466285
UBT,70.28855700976862
REQ,165.6296773543341
PNK,550.2171580243513
ANT,322.80290703035405
MKR,20.711665264689486
MET,207.76207942845897
TKN,20.096135978368693
BTU,36.645186938585844
LRC,138.63039410796546
ELF,44.72806145307771
SNX,126.02681796368891
KNC,275.66204128135564
ZRX,8.724296750185342
MLN,191.2670484877077
ENJ,0.5712811869603719
RCN,151.12286649789996
